Source IP,Source Port,Destination IP,Destination Port,Flags
104.26.6.95,443,192.168.0.101,64841,PA
35.174.127.31,443,192.168.0.101,61396,A
192.168.0.101,65239,196.202.177.98,443,FA
192.168.0.101,65240,102.132.104.60,443,FA
192.168.0.101,65238,57.144.139.32,443,FA
192.168.0.101,65237,57.144.139.32,443,FA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,61623,134.224.240.200,443,PA
104.26.6.95,443,192.168.0.101,64841,PA
192.168.0.101,64841,104.26.6.95,443,PA
35.174.127.31,443,192.168.0.101,61396,A
192.168.0.101,65239,196.202.177.98,443,FA
192.168.0.101,65240,102.132.104.60,443,FA
192.168.0.101,65238,57.144.139.32,443,FA
192.168.0.101,65237,57.144.139.32,443,FA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,61623,134.224.240.200,443,PA
104.26.6.95,443,192.168.0.101,64841,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,61623,134.224.240.200,443,PA
35.174.127.31,443,192.168.0.101,61396,A
192.168.0.101,65239,196.202.177.98,443,FA
192.168.0.101,65240,102.132.104.60,443,FA
192.168.0.101,65238,57.144.139.32,443,FA
192.168.0.101,65237,57.144.139.32,443,FA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,61623,134.224.240.200,443,PA
104.26.6.95,443,192.168.0.101,64841,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,61623,134.224.240.200,443,PA
192.168.0.101,61623,134.224.240.200,443,PA
35.174.127.31,443,192.168.0.101,61396,A
192.168.0.101,65239,196.202.177.98,443,FA
192.168.0.101,65240,102.132.104.60,443,FA
192.168.0.101,65238,57.144.139.32,443,FA
192.168.0.101,65237,57.144.139.32,443,FA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,61623,134.224.240.200,443,PA
104.26.6.95,443,192.168.0.101,64841,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,61623,134.224.240.200,443,PA
192.168.0.101,61623,134.224.240.200,443,PA
192.168.0.101,64874,35.190.80.1,443,PA
35.174.127.31,443,192.168.0.101,61396,A
192.168.0.101,65239,196.202.177.98,443,FA
192.168.0.101,65240,102.132.104.60,443,FA
192.168.0.101,65238,57.144.139.32,443,FA
192.168.0.101,65237,57.144.139.32,443,FA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,61623,134.224.240.200,443,PA
104.26.6.95,443,192.168.0.101,64841,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,61623,134.224.240.200,443,PA
192.168.0.101,61623,134.224.240.200,443,PA
192.168.0.101,64874,35.190.80.1,443,PA
192.168.0.101,64874,35.190.80.1,443,PA
35.174.127.31,443,192.168.0.101,61396,A
192.168.0.101,65239,196.202.177.98,443,FA
192.168.0.101,65240,102.132.104.60,443,FA
192.168.0.101,65238,57.144.139.32,443,FA
192.168.0.101,65237,57.144.139.32,443,FA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,61623,134.224.240.200,443,PA
104.26.6.95,443,192.168.0.101,64841,PA
192.168.0.101,64841,104.26.6.95,443,PA
192.168.0.101,61623,134.224.240.200,443,PA
192.168.0.101,61623,134.224.240.200,443,PA
192.168.0.101,64874,35.190.80.1,443,PA
192.168.0.101,64874,35.190.80.1,443,PA
35.190.80.1,443,192.168.0.101,64874,A
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
104.18.48.70,443,192.168.0.101,53639,A
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,A
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,A
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,PA
104.18.48.70,443,192.168.0.101,53639,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
104.18.48.70,443,192.168.0.101,53639,A
